amount,code,mktCap,remark,industry,priceLimit,priceHighLimit,qrr,price,daily,name,turnoverRate,id,ffCap,limitStatistic,isNewHigh
[109473495, 605268, 4.44271778016E9, 60日新高, 装修装饰, -1.5717092752456665, 11.2, 2.5649781227111816, 10.02, 2022-12-07, 王力安防, 14.759387016296387, 4350, 7.452876E8, {"ct":1,"days":2}, true]
[113855121, 002702, 3.0576336E9, 60日新高, 食品饮料, 1.7599999904632568, 6.88, 0.9993931651115417, 6.36, 2022-12-07, 海欣食品, 4.677880764007568, 4351, 2.4559458E9, {"ct":0,"days":0}, true]
[114559385, 600769, 3.247302552E9, 60日新高, 工程建设, 3.095238208770752, 9.24, 2.1257193088531494, 8.66, 2022-12-07, 祥龙电业, 3.484339475631714, 4352, 3.247302552E9, {"ct":0,"days":0}, true]
[115938799, 600897, 5.2861275E9, 60日新高, 航空机场, 0.9670079946517944, 19.34, 1.0943857431411743, 17.75, 2022-12-07, 厦门空港, 2.193493604660034, 4353, 5.2861275E9, {"ct":0,"days":0}, true]
[116330350, 300138, 9.39280533792E9, 60日新高, 农牧饲渔, 1.3218390941619873, 20.88, 1.1115278005599976, 17.63, 2022-12-07, 晨光生物, 1.552800178527832, 4354, 7.530200421719999E9, {"ct":0,"days":0}, true]
[118454248, 600137, 1.5943684431999998E9, 60日新高, 纺织服装, 4.458598613739014, 17.27, 3.114856243133545, 16.4, 2022-12-07, 浪莎股份, 7.357840538024902, 4355, 1.5943684431999998E9, {"ct":0,"days":0}, true]
[124470363, 603103, 9.145164E9, 60日新高, 文化传媒, 0.1388888955116272, 15.84, 1.7464065551757812, 14.42, 2022-12-07, 横店影视, 1.3535826206207275, 4356, 9.145164E9, {"ct":0,"days":0}, true]
[125044897, 605003, 2.3353E9, 60日新高, 纺织服装, 1.3365155458450317, 23.05, 1.2721920013427734, 21.23, 2022-12-07, 众望布艺, 21.080730438232422, 4357, 5.83825E8, {"ct":0,"days":0}, true]
[126613757, 688332, 6.84E9, 60日新高, 半导体, -2.8795366287231445, 70.43, 2.0115444660186768, 57.0, 2022-12-07, 中科蓝讯, 7.7809062004089355, 4358, 1.586493711E9, {"ct":0,"days":0}, true]
[126702395, 300396, 7.55997211088E9, 60日新高, 医疗器械, 5.572636604309082, 31.22, 0.973150372505188, 27.47, 2022-12-07, 迪瑞医疗, 1.8696388006210327, 4359, 6.828560038849999E9, {"ct":0,"days":0}, true]
[131081957, 603199, 3.1123216E9, 60日新高, 旅游酒店, 3.8021411895751953, 29.8, 0.9428989291191101, 28.12, 2022-12-07, 九华旅游, 4.250542163848877, 4360, 3.1123216E9, {"ct":0,"days":0}, true]
[138324561, 002760, 2.4977787697799997E9, 60日新高, 通用设备, 0.6527414917945862, 25.28, 2.080580234527588, 23.13, 2022-12-07, 凤形股份, 6.757647514343262, 4361, 2.0349989108999999E9, {"ct":0,"days":0}, true]
[140159226, 300300, 3.09513976432E9, 60日新高, 互联网服, 4.535147666931152, 5.29, 2.36810564994812, 4.61, 2022-12-07, 海峡创新, 4.6108527183532715, 4362, 3.0947089506000004E9, {"ct":0,"days":0}, true]
[141339748, 603156, 2.7258732144E10, 60日新高, 食品饮料, 4.970760345458984, 22.57, 2.9592621326446533, 21.54, 2022-12-07, 养元饮品, 0.5251155495643616, 4363, 2.7258732144E10, {"ct":0,"days":0}, true]
[142047141, 000726, 7.48274747136E9, 60日新高, 纺织服装, 1.5662651062011719, 9.13, 1.3431557416915894, 8.43, 2022-12-07, 鲁  泰Ａ, 2.9682912826538086, 4364, 4.80739864182E9, {"ct":0,"days":0}, true]
[142485861, 002193, 2.4784462585E9, 60日新高且近期多次涨停, 纺织服装, 9.988385200500488, 9.47, 0.6293977499008179, 9.47, 2022-12-07, 如意集团, 5.8297119140625, 4365, 2.47101385211E9, {"ct":4,"days":4}, true]
[146341981, 603313, 5.4499082192E9, 60日新高, 装修建材, 0.8078994154930115, 12.25, 2.673370599746704, 11.23, 2022-12-07, 梦百合, 2.648503541946411, 4366, 5.44990820797E9, {"ct":0,"days":0}, true]
[147588881, 688373, 6.5324444976E9, 60日新高, 生物制品, 6.745182037353516, 11.21, 1.3964532613754272, 9.97, 2022-12-07, 盟科药业-U, 12.611761093139648, 4367, 1.18331596023E9, {"ct":0,"days":0}, true]
[148682334, 603968, 4.9749984E9, 60日新高, 化学制品, 4.870689868927002, 25.52, 1.6745901107788086, 24.33, 2022-12-07, 醋化股份, 3.0052356719970703, 4368, 4.9749984E9, {"ct":0,"days":0}, true]
